feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Otu_3	Timepoint	M1	1.35416507206932	0.830681346284132	20	3	0.120435920219983	0.44733694160262
Otu_6	Timepoint	M1	1.52965496718207	0.816713762117058	20	4	0.0774109990109265	0.44733694160262
Otu_7	Timepoint	M1	2.19568315860391	1.18151909613886	20	4	0.0795535010002189	0.44733694160262
Otu_9	Timepoint	M1	1.48859432542328	0.744081484300385	20	4	0.0634293468606288	0.44733694160262
Otu_10	Timepoint	M1	0.901642169392443	0.532536071345898	20	3	0.107673730180423	0.44733694160262
Otu_12	Timepoint	M1	1.71733565821267	0.875849816645922	20	4	0.0815442062325931	0.44733694160262
Otu_15	Timepoint	M1	0.931519403135402	0.554159675981957	20	3	0.110040583107418	0.44733694160262
Otu_16	Timepoint	M1	1.42011798685262	0.742147912593487	20	4	0.0717209172905055	0.44733694160262
Otu_20	Timepoint	M1	1.87068656935411	1.0361657916454	20	7	0.104494641185654	0.44733694160262
Otu_39	Timepoint	M1	-1.75829505143282	0.882321826131288	20	9	0.0774458263665389	0.44733694160262
Otu_75	Timepoint	M1	1.59389924463191	0.770182191291606	20	5	0.0684183909071392	0.44733694160262
Otu_115	Timepoint	M1	2.63358996189768	1.11090720425554	20	10	0.0418632441427133	0.44733694160262
Otu_141	Timepoint	M1	-1.64144175519043	0.871864223708828	20	8	0.0924100984106201	0.44733694160262
Otu_150	Timepoint	M1	-1.13712107893858	0.515445782010964	20	7	0.054793395933556	0.44733694160262
Otu_153	Timepoint	M1	-3.04727269981249	1.79702339000703	20	6	0.12417294786081	0.44733694160262
Otu_161	Timepoint	M1	1.16233843248074	0.549792272195557	20	4	0.0586135386543273	0.44733694160262
Otu_163	Timepoint	M1	1.54725701029224	0.969228109724937	20	3	0.127810554743606	0.44733694160262
Otu_178	Timepoint	M1	-2.24635051453905	1.03366363540857	20	9	0.0578120492943142	0.44733694160262
Otu_37	Timepoint	M1	-0.752017804713799	0.501346934302626	20	3	0.167851973287236	0.55656180616294
Otu_130	Timepoint	M1	-1.76228610040407	1.36414041488792	20	8	0.212745282431861	0.582737077965532
Otu_135	Timepoint	M1	-1.1931618520438	0.885473415639686	20	4	0.210763878830514	0.582737077965532
Otu_146	Timepoint	M1	-1.87377300934338	1.35720507803531	20	14	0.200716826288098	0.582737077965532
Otu_166	Timepoint	M1	-0.29360397117411	0.207798428754079	20	3	0.191313557970387	0.582737077965532
Otu_122	Timepoint	M1	0.753595393884795	0.652446262985617	20	5	0.277822112153092	0.718378418245414
Otu_177	Timepoint	M1	-0.870775730656131	0.766137630117584	20	3	0.285070800891037	0.718378418245414
Otu_49	Timepoint	M1	0.773715463121678	0.747412543301847	20	10	0.327592325287479	0.740780560917013
Otu_50	Timepoint	M1	-0.353925804657174	0.350162327849917	20	7	0.338537539057192	0.740780560917013
Otu_53	Timepoint	M1	-0.610887429600839	0.607640515159932	20	4	0.340994226453863	0.740780560917013
Otu_129	Timepoint	M1	-1.26415276818456	1.19601612541235	20	15	0.318069844791584	0.740780560917013
Otu_157	Timepoint	M1	-1.26792353260953	1.34574366689532	20	17	0.358578424237894	0.753014690899578
Otu_38	Timepoint	M1	-0.968732039712961	1.03718359590313	20	7	0.374682217526891	0.76145095819981
Otu_88	Timepoint	M1	0.64288997633505	0.826426739415162	20	5	0.446724205497591	0.85283711958631
Otu_127	Timepoint	M1	-0.668546897804109	0.854280419448183	20	18	0.444045320076833	0.85283711958631
Otu_13	Timepoint	M1	-1.12597971479818	2.09492973196194	20	19	0.597519874523283	0.877611671268882
Otu_23	Timepoint	M1	0.459729914478704	1.14142175078452	20	10	0.696517199419748	0.877611671268882
Otu_28	Timepoint	M1	-0.0635163017239279	0.157547379540807	20	4	0.696242343811799	0.877611671268882
Otu_33	Timepoint	M1	-0.45623165057321	0.780875474537886	20	4	0.566298871347064	0.877611671268882
Otu_42	Timepoint	M1	-0.826772462359605	1.17316946305922	20	5	0.498805494415099	0.877611671268882
Otu_54	Timepoint	M1	-0.678128937115659	1.56558116508283	20	8	0.67510242631427	0.877611671268882
Otu_69	Timepoint	M1	-0.335808594440303	0.529064207087122	20	3	0.541406933299921	0.877611671268882
Otu_103	Timepoint	M1	-0.200814852543445	0.42610501913844	20	5	0.648655248866722	0.877611671268882
Otu_117	Timepoint	M1	-0.335476320812921	0.780775106624376	20	14	0.677538674011875	0.877611671268882
Otu_119	Timepoint	M1	0.435260969433234	0.642538998562549	20	9	0.515181175424708	0.877611671268882
Otu_147	Timepoint	M1	0.67604782680401	1.08323689595766	20	7	0.548053104686216	0.877611671268882
Otu_148	Timepoint	M1	-0.131937822462821	0.24788913440606	20	3	0.607443362788906	0.877611671268882
Otu_149	Timepoint	M1	-0.282449989842713	0.40764671450557	20	4	0.505869534852895	0.877611671268882
Otu_155	Timepoint	M1	-0.680689561134108	1.19691752195128	20	18	0.576585774194785	0.877611671268882
Otu_167	Timepoint	M1	-0.111711427219609	0.231193849690305	20	3	0.634783197746514	0.877611671268882
Otu_176	Timepoint	M1	0.107845081417021	0.238297054583818	20	3	0.656268571791945	0.877611671268882
Otu_179	Timepoint	M1	0.520842272168868	0.924610662174093	20	5	0.586981837168756	0.877611671268882
Otu_131	Timepoint	M1	-0.362184755206528	0.999168317954282	20	19	0.721209871082116	0.890906311336732
Otu_108	Timepoint	M1	0.304690640093048	0.921787420514201	20	16	0.748554464798858	0.906902524660155
Otu_132	Timepoint	M1	0.208555331643765	0.71845713200573	20	4	0.778177746866959	0.907874038011453
Otu_160	Timepoint	M1	-0.354224091654828	1.20345310628959	20	10	0.775174133182742	0.907874038011453
Otu_68	Timepoint	M1	0.421595707135856	1.72867007076357	20	4	0.810078417685926	0.92790800571297
Otu_84	Timepoint	M1	-0.218917235561565	1.05424786839563	20	4	0.837831558731178	0.942560503572575
Otu_32	Timepoint	M1	0.0931389990224034	0.831511666634651	20	9	0.913272603220511	0.949571389345762
Otu_36	Timepoint	M1	-0.169650592383651	1.12518500158925	20	11	0.883477882621689	0.949571389345762
Otu_136	Timepoint	M1	0.140431764387306	1.10062599037875	20	17	0.901276769204096	0.949571389345762
Otu_181	Timepoint	M1	-0.0958673159101238	0.921527901301296	20	4	0.919426265874468	0.949571389345762
Otu_185	Timepoint	M1	0.228544927241489	1.50818657779612	20	15	0.882895108385969	0.949571389345762
Otu_152	Timepoint	M1	0.0765613243392579	1.31639581666124	20	8	0.954892184762331	0.970293671613336
Otu_116	Timepoint	M1	0.00485905551016437	0.698665845945189	20	8	0.994602666537643	0.994602666537643
